Padre Luchu lunchita qarayaamarqan, i las seisnawnam, mana ni piwanpis riqinakur, niyarqaa padre Luchuta, “aywayaa posada ashiqchi manaraq ampiptin, i mana tarirninnachi, otelllachaw punuyaashaq.”	El padre Lucho nos ofreció lonche, y como a las seis, ya que no conocíamos a nadie, dijimos al padre Lucho, “Vamos a buscar alojamiento antes que oscurezca, y si no encontramos dormiremos en el hotel.”	CRH-07-217	[['padre[N]'], ['luchu[PROPN]'], ['lunchi[N]+ta[Obj]'], ['qara[VTr]+yaA[VPl]+maA[1.Obj]+rqa[Pst]+n[3]'], ['i[CCONJ]'], ['las[DET]'], ['seis[NUM.Card]+naw[Equ]+na[Acp]+mi[Asrt]'], ['mana[ADV]'], ['ni[CCONJ]'], ['pi[PRON]+wan[Com]+pis(Pron.Indef)'], ['riqi[VTr]+nakU[Recp]+r[Cnv](N)'], ['ni[VTr]+yaA[VPl]+rqa[Pst]+ː[1]'], ['padre[N]'], ['luchu[PROPN]+ta[Obj]'], ['aywa[VTr]+yaA[VPl]+ː[1]'], ['posada[N]'], ['ashi[VTr]+q[Agt]+chi[Conjc]'], ['mana[ADV]+raq[Inacp]'], ['ampi[VInt]+pti[Cnv](N)+n[Poss.3]'], ['i[CCONJ]'], ['mana[ADV]'], ['tari[VTr]+r[Cnv](N)+n[Poss.3]+na[Acp]+chi[Conjc]'], ['otel[N]+lla[Lim]+chaw[Loc]'], ['punu[VInt]+yaA[VPl]+shaq[Fut.1]']]	[[('Padre', 'padre')], [('Luchu', 'luchu')], [('lunchi', 'lunchi'), ('ta', 'ta')], [('qara', 'qara'), ('yaa', 'yaA'), ('ma', 'maA'), ('rqa', 'rqa'), ('n', 'n')], [('i', 'i')], [('las', 'las')], [('seis', 'seis'), ('naw', 'naw'), ('na', 'na'), ('m', 'mi')], [('mana', 'mana')], [('ni', 'ni')], [('pi', 'pi'), ('wan', 'wan'), ('pis', 'pis')], [('riqi', 'riqi'), ('naku', 'nakU'), ('r', 'r')], [('ni', 'ni'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')], [('padre', 'padre')], [('Luchu', 'luchu'), ('ta', 'ta')], [('aywa', 'aywa'), ('ya', 'yaA'), ('a', 'ː')], [('posada', 'posada')], [('ashi', 'ashi'), ('q', 'q'), ('chi', 'chi')], [('mana', 'mana'), ('raq', 'raq')], [('ampi', 'ampi'), ('pti', 'pti'), ('n', 'n')], [('i', 'i')], [('mana', 'mana')], [('tari', 'tari'), ('r', 'r'), ('ni', 0), ('n', 'n'), ('na', 'na'), ('chi', 'chi')], [('otel', 'otel'), ('lla', 'lla'), ('chaw', 'chaw')], [('punu', 'punu'), ('yaa', 'yaA'), ('shaq', 'shaq')]]	[['padre[N]'], ['luchu[N]'], ['lunchita[UNK]'], ['qara[VTr]+yaA[VPl]+maA[1.Obj]+rqa[Pst]+n[3]', 'qara[N]+yaA[Transf](VInt)+maA[1.Obj]+rqa[Pst]+n[3]'], ['i[CCONJ]'], ['las[DET]'], ['seis[NUM.Card]+naw[Equ]+na[Acp]+mi[Asrt]'], ['mana[INTJ]', 'mana[ADV]'], ['ni[CCONJ]'], ['pi[PRON]+wan[Com]+pis(Pron.Indef)'], ['riqi[VTr]+nakU[Recp]+r[Cnv](N)', 'riqi[VTr]+naA[Prosp]+kU[Refl/Mid]+r[Cnv](N)'], ['ni[VTr]+yaA[VPl]+rqa[Pst]+ː[1]'], ['padre[N]'], ['luchu[N]+ta[Obj]'], ['aywa[VTr]+yaA[VPl]+ː[1]'], ['posada[N]'], ['ashi[VTr]+q[1.Sbj][2.Obj]+chi[Conjc]', 'ashi[VTr]+q[Hab]+chi[Conjc]', 'ashi[VTr]+q[Agt]+chi[Conjc]'], ['mana[VTr]+rI[Pct]+q[Hab]', 'mana[VTr]+raA[Dur]+q[Agt]', 'mana[VTr]+rI[Pct]+q[Agt]', 'mana[VTr]+raA[Dur]+q[1.Sbj][2.Obj]', 'mana[VTr]+rI[Pct]+q[1.Sbj][2.Obj]', 'mana[VTr]+raA[Dur]+q[Hab]', 'mana[ADV]+raq[Inacp]'], ['ampi[VInt]+pti[Cnv](N)+n[Poss.3]'], ['i[CCONJ]'], ['mana[INTJ]', 'mana[ADV]'], ['tari[VTr]+r[Cnv](N)+n[Poss.3]+na[Acp]+chi[Conjc]'], ['otel[N]+lla[Lim]+chaw[Loc]'], ['punu[VInt]+yaA[VPl]+shaq[Fut.1]']]
Tsaynam niyaa, “Kayaa katekistam.”	Entonces dijimos, “Somos catequistas.”	CRH-07-257	[['tsayna[ADV]+mi[Asrt]'], ['ni[VTr]+yaA[VPl]+ː[1]'], ['ka[AUX]+yaA[VPl]+ː[1]'], ['katekista[N]+mi[Asrt]']]	[[('Tsayna', 'tsayna'), ('m', 'mi')], [('ni', 'ni'), ('ya', 'yaA'), ('a', 'ː')], [('Ka', 'ka'), ('ya', 'yaA'), ('a', 'ː')], [('katekista', 'katekista'), ('m', 'mi')]]	[['tsay[PRON]+na[Acp]+mi[Asrt]'], ['ni[VTr]+yaA[VPl]+ː[1]'], ['ka[AUX]+yaA[VPl]+ː[1]', 'kaya[VTr]+ː[1]'], ['katekista[N]+mi[Asrt]']]
Wanuku kontrolllachawmi llapan awtu montaña aywaq taakuykaayaq.	Todos los carros que iban a la selva quedaron amontonados en el control de Huánuco no más.	CRH-07-305	[['wanuku[PROPN]'], ['kontrol[N]+lla[Lim]+chaw[Loc]+mi[Asrt]'], ['llapan[ADJ]'], ['awtu[N]'], ['montaña[N]'], ['aywa[VTr]+q[Agt]'], ['taa[VInt]+kU[Refl/Mid]+YkaA[Prog]+yaA[VPl]+q[Agt]']]	[[('Wanuku', 'wanuku')], [('kontrol', 'kontrol'), ('lla', 'lla'), ('chaw', 'chaw'), ('mi', 'mi')], [('llapan', 'llapan')], [('awtu', 'awtu')], [('montaña', 'montaña')], [('aywa', 'aywa'), ('q', 'q')], [('taa', 'taa'), ('ku', 'kU'), ('ykaa', 'YkaA'), ('ya', 'yaA'), ('q', 'q')]]	[['wanuku[PROPN]', 'wanu[N]+ku[Inter]'], ['kontrolllachawmi[UNK]'], ['llapa[PRON]+n[Poss.3]', 'llapan[ADJ]'], ['awtu[N]'], ['montaña[UNK]'], ['aywa[VTr]+q[1.Sbj][2.Obj]', 'aywa[VTr]+q[Agt]', 'aywa[VTr]+q[Hab]'], ['taa[VInt]+kU[Refl/Mid]+YkaA[Prog]+yaA[VPl]+q[1.Sbj][2.Obj]', 'taa[VInt]+kU[Refl/Mid]+YkaA[Prog]+yaA[VPl]+q[Agt]', 'taa[VInt]+kU[Refl/Mid]+YkaA[Prog]+yaA[VPl]+q[Hab]']]
Tsayqa posada ashiyaanaqa.	Y buscamos alojamiento.	CRH-07-339	[['tsay[PRON.Dem]+qa[Top]'], ['posada[N]'], ['ashi[VTr]+yaA[VPl]+ː[1]+na[Acp]+qa[Top]']]	[[('Tsay', 'tsay'), ('qa', 'qa')], [('posada', 'posada')], [('ashi', 'ashi'), ('ya', 'yaA'), ('a', 'ː'), ('na', 'na'), ('qa', 'qa')]]	[['tsay[PRON]+qa[Top]', 'tsay[PRON.Dem]+qa[Top]'], ['posada[N]'], ['ashi[VTr]+yaA[VPl]+na[Pot](N)+qa[Top]', 'ashi[VTr]+yaA[VPl]+ː[1]+na[Acp]+qa[Top]']]
Bandankunanam tokayan shumaq waynuta 'Ayrampita' nishqanta.	Su banda tocó el huayno bonito llamado 'Ayrampita'.	CRH-07-349	[['banda[N]+n[Poss.3]+kuna[Pl]+na[Acp]+mi[Asrt]'], ['toka[V]+yaA[VPl]+n[3]'], ['shumaq[ADJ]'], ['waynu[N]+ta[Obj]'], ['ayrampita[PROPN]'], ['ni[VTr]+shqa[Prf](N)+n[Poss.3]+ta[Obj]']]	[[('Banda', 'banda'), ('n', 'n'), ('kuna', 'kuna'), ('na', 'na'), ('m', 'mi')], [('toka', 'toka'), ('ya', 'yaA'), ('n', 'n')], [('shumaq', 'shumaq')], [('waynu', 'waynu'), ('ta', 'ta')], [('Ayrampita', 'ayrampita')], [('ni', 'ni'), ('shqa', 'shqa'), ('n', 'n'), ('ta', 'ta')]]	[['banda[N]+n[Poss.3]+kuna[Pl]+na[Acp]+mi[Asrt]'], ['toka[V]+yaA[VPl]+n[3]'], ['shumaq[ADJ]'], ['waynuta[UNK]'], ['ayrampita[UNK]'], ['ni[VTr]+shqa[Prf](N)+n[Poss.3]+ta[Obj]']]
Waraanin lunisnam aywayarqaa Wanuku frentin Pawkarbambata.	El día siguiente, lunes, fuimos a Paucarbamba, frente a Huánuco.	CRH-07-363	[['waraanin[ADV]'], ['lunis[N]+na[Acp]+mi[Asrt]'], ['aywa[VTr]+yaA[VPl]+rqa[Pst]+ː[1]'], ['wanuku[PROPN]'], ['frenti[N]+n[Poss.3]'], ['pawkarbamba[PROPN]+ta[Obj]']]	[[('Waraanin', 'waraanin')], [('lunis', 'lunis'), ('na', 'na'), ('m', 'mi')], [('aywa', 'aywa'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')], [('Wanuku', 'wanuku')], [('frenti', 'frenti'), ('n', 'n')], [('Pawkarbamba', 'pawkarbamba'), ('ta', 'ta')]]	[['waraanin[ADV]', 'waraa[VInt]+n[3]'], ['lunis[N]+na[Acp]+mi[Asrt]'], ['aywa[VTr]+yaA[VPl]+rqa[Pst]+ː[1]'], ['wanuku[PROPN]', 'wanu[N]+ku[Inter]'], ['frentin[UNK]'], ['pawkarbambata[UNK]']]
Tsaychawmi tariyarqaa huk nunata, hatun shukshu puntanman osin watashqa.	Allí encontramos a un hombre que tenía un palo largo con hoz amarrada a su punte.	CRH-07-366	[['tsay[PRON]+chaw[Loc]+mi[Asrt]'], ['tari[VTr]+yaA[VPl]+rqa[Pst]+ː[1]'], ['huk[DET]'], ['nuna[N]+ta[Obj]'], ['hatun[ADJ]'], ['shukshu[N]'], ['punta[N]+n[Poss.3]+man[Dat]'], ['osi[N]+n[Poss.3]'], ['wata[VTr]+shqa[Prf](N)']]	[[('Tsay', 'tsay'), ('chaw', 'chaw'), ('mi', 'mi')], [('tari', 'tari'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')], [('huk', 'huk')], [('nuna', 'nuna'), ('ta', 'ta')], [('hatun', 'hatun')], [('shukshu', 'shukshu')], [('punta', 'punta'), ('n', 'n'), ('man', 'man')], [('osi', 'osi'), ('n', 'n')], [('wata', 'wata'), ('shqa', 'shqa')]]	[['tsay[PRON]+chaw[Loc]+mi[Asrt]', 'tsay[PRON]+chaw[Loc](ADV)+mi[Asrt]'], ['tari[VTr]+yaA[VPl]+rqa[Pst]+ː[1]'], ['huk[NUM.Card]', 'huk[DET]', 'huk[PRON]'], ['nuna[N]+ta[Obj]'], ['hatun[ADJ]'], ['shukshu[N]'], ['punta[N]+n[Poss.3]+man[Dat]'], ['osin[UNK]'], ['wata[VTr]+shqa[Prf](N)']]
I tsaynawpa qarqarayaamunaq tsay mormonkunata.	Y así botaron a esos mormones.	CRH-07-428	[['i[CCONJ]'], ['tsay[PRON]+naw[Equ]+pa[Man]'], ['qarqu[VTr]+rI[Pct]+yaA[VPl]+mu[Cis]+naq[Rpst]'], ['tsay[DET]'], ['mormon[N]+kuna[Pl]+ta[Obj]']]	[[('I', 'i')], [('tsay', 'tsay'), ('naw', 'naw'), ('pa', 'pa')], [('qarqa', 'qarqu'), ('ra', 'rI'), ('yaa', 'yaA'), ('mu', 'mu'), ('naq', 'naq')], [('tsay', 'tsay')], [('mormon', 'mormon'), ('kuna', 'kuna'), ('ta', 'ta')]]	[['i[CCONJ]'], ['tsaynaw[ADV]+pa[Gen]', 'tsay[PRON]+naw[Equ]+pa[Prol]', 'tsaynaw[ADV]+pa[Man]', 'tsay[PRON]+naw[Equ]+pa[Gen]', 'tsaynaw[ADV]+pa[Prol]', 'tsay[PRON]+naw[Equ]+pa[Man]'], ['qarqu[VTr]+rI[Pct]+yaA[VPl]+mu[Cis]+naq[Rpst]'], ['tsay[DET]', 'tsay[PRON]'], ['mormonkunata[UNK]']]
I riwarayaamuu limpu tardina.	Pero cuando nos despertamos era muy tarde.	CRH-07-476	[['i[CCONJ]'], ['riwa[VInt]+rI[Pct]+yaA[VPl]+mu[Cis]+ː[1]'], ['limpu[ADV]'], ['tardi[N]+na[Acp]']]	[[('I', 'i')], [('riwa', 'riwa'), ('ra', 'rI'), ('yaa', 'yaA'), ('mu', 'mu'), ('u', 'ː')], [('limpu', 'limpu')], [('tardi', 'tardi'), ('na', 'na')]]	[['i[CCONJ]'], ['riwa[VInt]+rI[Pct]+yaA[VPl]+mu[Cis]+ː[1]'], ['limpu[ADV]', 'limpu[ADJ]'], ['tardi[N]+na[Acp]']]
I tullpankuna kima rumi churashqa patsallachaw.	Y sus fogones son tres piedras puestas en la tierra.	CRH-08-035	[['i[CCONJ]'], ['tullpa[N]+n[Poss.3]+kuna[Pl]'], ['kima[NUM.Card]'], ['rumi[N]'], ['chura[VTr]+shqa[Prf](N)'], ['patsa[N]+lla[Lim]+chaw[Loc]']]	[[('I', 'i')], [('tullpa', 'tullpa'), ('n', 'n'), ('kuna', 'kuna')], [('kima', 'kima')], [('rumi', 'rumi')], [('chura', 'chura'), ('shqa', 'shqa')], [('patsa', 'patsa'), ('lla', 'lla'), ('chaw', 'chaw')]]	[['i[CCONJ]'], ['tullpa[N]+n[Poss.3]+kuna[Pl]'], ['kima[NUM.Card]'], ['rumi[N]'], ['chura[VTr]+shqa[Prf](N)'], ['patsa[N]+lla[Lim]+chaw[Loc]']]
Tsaymi watachaw fyestakuna.	Esas son las fiestas durante el año.	CRH-08-068	[['tsay[PRON]+mi[Asrt]'], ['wata[N]+chaw[Loc]'], ['fyesta[N]+kuna[Pl]']]	[[('Tsay', 'tsay'), ('mi', 'mi')], [('wata', 'wata'), ('chaw', 'chaw')], [('fyesta', 'fyesta'), ('kuna', 'kuna')]]	[['tsay[PRON.Dem]+mi[Asrt]', 'tsay[PRON]+mi[Asrt]'], ['wata[N]+chaw[Loc]'], ['fyesta[N]+kuna[Pl]']]
Atska hutipitam akrayarqaa 'Purísimo Corazón de María'.	De muchos nombres escogimos 'Purísimo Corazón de María'.	CRH-09-022	[['atska[ADJ]'], ['huti[N]+pita[Abl]+mi[Asrt]'], ['akra[VTr]+yaA[VPl]+rqa[Pst]+ː[1]'], ['purísimo[PROPN]'], ['corazón[PROPN]'], ['de[ADP]'], ['maría[PROPN]']]	[[('Atska', 'atska')], [('huti', 'huti'), ('pita', 'pita'), ('m', 'mi')], [('akra', 'akra'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')], [('Purísimo', 'purísimo')], [('Corazón', 'corazón')], [('de', 'de')], [('María', 'maría')]]	[['atska[ADV]'], ['huti[N]+pita[Abl]+mi[Asrt]'], ['akra[VTr]+yaA[VPl]+rqa[Pst]+ː[1]'], ['purísimo[UNK]'], ['corazón[UNK]'], ['de[ADP]'], ['maría[PROPN]']]
Lehyonaryu yaykuqkunapis yarqurna qallaykuyarqan, puntata Fabián Reyes, Honoratu Velásquez i Cefirinu Tahua, warminkunata mantsar, porki warminkuna ninaq, “Tsay protestantikunawan huntarirqa, ama warmilla nimaytsu.”	Los que habían entrado como legionarios comenzaron a salir, primero Fabián Reyes, Honorato Velásquez y Cefirino Tahua, por miedo a sus esposas, porque sus esposas dijeron, “Si te juntas con esos protestantes, no me llames tu esposa.”	CRH-09-035	[['lehyonaryu[N]'], ['yayku[VTr]+q[Agt]+kuna[Pl]+pis[Coord]'], ['yarqu[VTr]+r[Cnv](N)+na[Acp]'], ['qalla[VTr]+yku[Intens]+yaA[VPl]+rqa[Pst]+n[3]'], ['punta[N]+ta[Obj]'], ['fabián[PROPN]'], ['reyes[PROPN]'], ['honoratu[PROPN]'], ['velásquez[PROPN]'], ['i[CCONJ]'], ['cefirinu[PROPN]'], ['tahua[PROPN]'], ['warmi[N]+n[Poss.3]+kuna[Pl]+ta[Obj]'], ['mantsa[VTr]+r[Cnv](N)'], ['porki[SCONJ]'], ['warmi[N]+n[Poss.3]+kuna[Pl]'], ['ni[VTr]+naq[Rpst]'], ['tsay[DET]'], ['protestanti[N]+kuna[Pl]+wan[Com]'], ['hunta[VTr]+rI[Pct]+r[Cnv](N)+qa[Top]'], ['ama[ADV]'], ['warmi[N]+lla[Lim]'], ['ni[VTr]+maA[1.Obj]+y[Imp.2]+tsu[Neg]']]	[[('Lehyonaryu', 'lehyonaryu')], [('yayku', 'yayku'), ('q', 'q'), ('kuna', 'kuna'), ('pis', 'pis')], [('yarqu', 'yarqu'), ('r', 'r'), ('na', 'na')], [('qalla', 'qalla'), ('yku', 'yku'), ('ya', 'yaA'), ('rqa', 'rqa'), ('n', 'n')], [('punta', 'punta'), ('ta', 'ta')], [('Fabián', 'fabián')], [('Reyes', 'reyes')], [('Honoratu', 'honoratu')], [('Velásquez', 'velásquez')], [('i', 'i')], [('Cefirinu', 'cefirinu')], [('Tahua', 'tahua')], [('warmi', 'warmi'), ('n', 'n'), ('kuna', 'kuna'), ('ta', 'ta')], [('mantsa', 'mantsa'), ('r', 'r')], [('porki', 'porki')], [('warmi', 'warmi'), ('n', 'n'), ('kuna', 'kuna')], [('ni', 'ni'), ('naq', 'naq')], [('Tsay', 'tsay')], [('protestanti', 'protestanti'), ('kuna', 'kuna'), ('wan', 'wan')], [('hunta', 'hunta'), ('ri', 'rI'), ('r', 'r'), ('qa', 'qa')], [('ama', 'ama')], [('warmi', 'warmi'), ('lla', 'lla')], [('ni', 'ni'), ('ma', 'maA'), ('y', 'y'), ('tsu', 'tsu')]]	[['lehyonaryu[UNK]'], ['yayku[VTr]+q[Agt]+kuna[Pl]+pis[Coord]'], ['yarqu[VTr]+r[Cnv](N)+na[Acp]'], ['qalla[VTr]+yku[Intens]+yaA[VPl]+rqa[Pst]+n[3]'], ['punta[N]+ta[Obj]'], ['fabián[UNK]'], ['reyes[UNK]'], ['honoratu[UNK]'], ['velásquez[UNK]'], ['i[CCONJ]'], ['cefirinu[UNK]'], ['tahua[UNK]'], ['warmi[N]+n[Poss.3]+kuna[Pl]+ta[Obj]'], ['mantsa[VTr]+r[Cnv](N)'], ['porki[UNK]'], ['warmi[N]+n[Poss.3]+kuna[Pl]'], ['ni[VTr]+naA[Prosp]+q[Agt]', 'ni[VTr]+naA[Prosp]+q[1.Sbj][2.Obj]', 'ni[VTr]+naq[Rpst]', 'ni[VTr]+naA[Prosp]+q[Hab]'], ['tsay[DET]', 'tsay[PRON]'], ['protestanti[N]+kuna[Pl]+wan[Com]'], ['hunta[VTr]+rI[Pct]+r[Cnv](N)+qa[Top]', 'hunta[VTr]+rI[Pct]+rqa[Pst][3]'], ['ama[ADV]'], ['warmi[N]+lla[Lim]'], ['ni[VTr]+maA[1.Obj]+y[Imp.2]+tsu[Neg]']]
Hina misaqa kada killam.	Seguía celebrándose la misa cada mes.	CRH-09-067	[['hina[ADV]'], ['misa[N]+qa[Top]'], ['kada[DET]'], ['killa[N]+mi[Asrt]']]	[[('Hina', 'hina')], [('misa', 'misa'), ('qa', 'qa')], [('kada', 'kada')], [('killa', 'killa'), ('m', 'mi')]]	[['hina[ADV]', 'hina[N]'], ['misa[N]+qa[Top]'], ['kada[DET]'], ['killa[N]+mi[Asrt]']]
Tsaychawmi Chikneychaw willakuraykaptiimi huk chakwasta willarir, pasarirqaa hukman.	Allí en Chicney mientras estaba pasando la voz, invité a una viejecita y después pasé a otra casa.	CRH-09-069	[['tsay[PRON]+chaw[Loc]+mi[Asrt]'], ['chikney[PROPN]+chaw[Loc]'], ['willa[VTr]+kU[Refl/Mid]+rI[Pct]+YkaA[Prog]+pti[Cnv](N)+ː[Poss.1Sg]+mi[Asrt]'], ['huk[DET]'], ['chakwas[N]+ta[Obj]'], ['willa[VTr]+rI[Pct]+r[Cnv](N)'], ['pasa[VInt]+rI[Pct]+rqa[Pst]+ː[1]'], ['huk[PRON]+man[Dat]']]	[[('Tsay', 'tsay'), ('chaw', 'chaw'), ('mi', 'mi')], [('Chikney', 'chikney'), ('chaw', 'chaw')], [('willa', 'willa'), ('ku', 'kU'), ('ra', 'rI'), ('yka', 'YkaA'), ('pti', 'pti'), ('i', 'ː'), ('mi', 'mi')], [('huk', 'huk')], [('chakwas', 'chakwas'), ('ta', 'ta')], [('willa', 'willa'), ('ri', 'rI'), ('r', 'r')], [('pasa', 'pasa'), ('ri', 'rI'), ('rqa', 'rqa'), ('a', 'ː')], [('huk', 'huk'), ('man', 'man')]]	[['tsay[PRON]+chaw[Loc]+mi[Asrt]', 'tsay[PRON]+chaw[Loc](ADV)+mi[Asrt]'], ['chikney[PROPN]+chaw[Loc]'], ['willa[VTr]+kU[Refl/Mid]+rI[Pct]+YkaA[Prog]+pti[Cnv](N)+ː[Poss.1Sg]+mi[Asrt]', 'willa[VTr]+kU[Refl/Mid]+raA[Dur]+YkaA[Prog]+pti[Cnv](N)+ː[Poss.1Sg]+mi[Asrt]'], ['huk[NUM.Card]', 'huk[DET]', 'huk[PRON]'], ['chakwas[N]+ta[Obj]'], ['willa[VTr]+rI[Pct]+r[Cnv](N)'], ['pasa[VInt]+rI[Pct]+rqa[Pst]+ː[1]'], ['huk[NUM.Card]+man[Dat]', 'huk[PRON]+man[Dat]']]
Tsaynash Luisqa riwikushpanalla nawinta kutarinaq hayllana ardaypa.	Entonces Luis jaló, libró su mano y se dio un puñete en el ojo de propósito.	CRH-10-055	[['tsayna[ADV]+shi[Nfh]'], ['luis[PROPN]+qa[Top]'], ['riwi[VTr]+ku[Refl/Mid]+shpa[Grd]+na[Acp]+lla[Lim]'], ['nawi[N]+n[Poss.3]+ta[Obj]'], ['kuta[V]+rI[Pct]+naq[Rpst]'], ['hay[PRON]+lla[Lim]+na[Acp]'], ['arday[ADV]+pa[Man]']]	[[('Tsayna', 'tsayna'), ('sh', 'shi')], [('Luis', 'luis'), ('qa', 'qa')], [('riwi', 'riwi'), ('ku', 'ku'), ('shpa', 'shpa'), ('na', 'na'), ('lla', 'lla')], [('nawi', 'nawi'), ('n', 'n'), ('ta', 'ta')], [('kuta', 'kuta'), ('ri', 'rI'), ('naq', 'naq')], [('hay', 'hay'), ('lla', 'lla'), ('na', 'na')], [('arday', 'arday'), ('pa', 'pa')]]	[['tsay[PRON]+na[Acp]+shi[Nfh]'], ['luis[PROPN]+qa[Top]'], ['riwikushpanalla[UNK]'], ['nawi[N]+n[Poss.3]+ta[Obj]'], ['kuta[V]+rI[Pct]+naq[Rpst]'], ['hay[PRON]+lla[Lim]+na[Acp]'], ['arday[ADV]+pa[Gen]', 'arday[ADV]+pa[Man]', 'arday[ADV]+pa[Prol]']]
Semanatam yarqamurqan kachakaarir ospitalpita.	Después de una semana salió del hospital casi sano.	CRH-10-070	[['semana[N]+ta[Obj]+mi[Asrt]'], ['yarqu[VTr]+mu[Cis]+rqa[Pst]+n[3]'], ['kachakaa[VInt]+rI[Pct]+r[Cnv](N)'], ['ospital[N]+pita[Abl]']]	[[('Semana', 'semana'), ('ta', 'ta'), ('m', 'mi')], [('yarqa', 'yarqu'), ('mu', 'mu'), ('rqa', 'rqa'), ('n', 'n')], [('kachakaa', 'kachakaa'), ('ri', 'rI'), ('r', 'r')], [('ospital', 'ospital'), ('pita', 'pita')]]	[['semana[N]+ta[Obj]+mi[Asrt]'], ['yarqa[VInt]+mu[Cis]+rqa[Pst]+n[3]', 'yarqu[VTr]+mu[Cis]+rqa[Pst]+n[3]'], ['kachakaa[VInt]+rI[Pct]+r[Cnv](N)', 'kacha[VTr]+kaA[Pass]+rI[Pct]+r[Cnv](N)'], ['ospital[N]+pita[Abl]']]
Kikinllapaqqa kusa shumaq.	Para ella la comida era muy rica.	CRH-107-064	[['kiki[PRON.Refl]+n[Poss.3]+lla[Lim]+paq[Ben]+qa[Top]'], ['kusa[ADV]'], ['shumaq[ADJ]']]	[[('Kiki', 'kiki'), ('n', 'n'), ('lla', 'lla'), ('paq', 'paq'), ('qa', 'qa')], [('kusa', 'kusa')], [('shumaq', 'shumaq')]]	[['kiki[PRON.Refl]+n[Poss.3]+lla[Lim]+paq[Ben]+qa[Top]'], ['kusa[ADV]'], ['shumaq[ADJ]']]
Tsaynaw niptin, pobri warmiqa ni imanaw kayta musyanaqnatsu, “Imanawnataq arushaq“, nir.	Cuando decía eso, la pobre mujer no sabía qué hacer y decía, “¿Cómo voy a cocinar.”	CRH-107-067	[['tsay[PRON]+naw[Equ]'], ['ni[VTr]+pti[Cnv](N)+n[Poss.3]'], ['pobri[ADJ]'], ['warmi[N]+qa[Top]'], ['ni[CCONJ]'], ['imanaw[ADV]'], ['ka[AUX]+y[Inf]+ta[Obj]'], ['musya[VTr]+naq[Rpst]+na[Acp]+tsu[Neg]'], ['ima[PRON]+naw[Equ]+na[Acp]+taq[Ctrs](Pron.Interr)'], ['aru[VTr]+shaq[Fut.1]'], ['ni[VTr]+r[Cnv](N)']]	[[('Tsay', 'tsay'), ('naw', 'naw')], [('ni', 'ni'), ('pti', 'pti'), ('n', 'n')], [('pobri', 'pobri')], [('warmi', 'warmi'), ('qa', 'qa')], [('ni', 'ni')], [('imanaw', 'imanaw')], [('ka', 'ka'), ('y', 'y'), ('ta', 'ta')], [('musya', 'musya'), ('naq', 'naq'), ('na', 'na'), ('tsu', 'tsu')], [('Ima', 'ima'), ('naw', 'naw'), ('na', 'na'), ('taq', 'taq')], [('aru', 'aru'), ('shaq', 'shaq')], [('ni', 'ni'), ('r', 'r')]]	[['tsaynaw[ADV]', 'tsay[PRON]+naw[Equ]'], ['ni[VTr]+pti[Cnv](N)+n[Poss.3]'], ['pobri[UNK]'], ['warmi[N]+qa[Top]'], ['ni[CCONJ]'], ['imanaw[ADV]'], ['kay[PRON]+ta[Obj]', 'kay[PRON.Dem]+ta[Obj]', 'ka[AUX]+y[Inf]+ta[Obj]'], ['musya[VTr]+naA[Prosp]+q[Agt]+na[Acp]+tsu[Neg]', 'musya[VTr]+naq[Rpst]+na[Acp]+tsu[Neg]', 'musya[VTr]+naA[Prosp]+q[1.Sbj][2.Obj]+na[Acp]+tsu[Neg]', 'musya[VTr]+naA[Prosp]+q[Hab]+na[Acp]+tsu[Neg]'], ['imanawnataq[UNK]'], ['aru[VTr]+shaq[Fut.1]'], ['ni[VTr]+r[Cnv](N)']]
Nishpana, tallerninpita chaariptin, qararirqunaq temblaykar.	Cuando él llegó de su taller, se le sirvió temblando.	CRH-107-077	[['ni[VTr]+shpa[Grd]+na[Acp]'], ['taller[N]+n[Poss.3]+pita[Abl]'], ['chaa[VTr]+rI[Pct]+pti[Cnv](N)+n[Poss.3]'], ['qara[VTr]+rI[Pct]+rqu[RecPst][3]+naq[Rpst]'], ['tembla[VInt]+YkaA[Prog]+r[Cnv](N)']]	[[('Ni', 'ni'), ('shpa', 'shpa'), ('na', 'na')], [('taller', 'taller'), ('ni', 0), ('n', 'n'), ('pita', 'pita')], [('chaa', 'chaa'), ('ri', 'rI'), ('pti', 'pti'), ('n', 'n')], [('qara', 'qara'), ('ri', 'rI'), ('rqu', 'rqu'), ('naq', 'naq')], [('tembla', 'tembla'), ('yka', 'YkaA'), ('r', 'r')]]	[['nish[ADV]+pa[Man]+na[Acp]', 'ni[VTr]+shpa[Grd]+na[Acp]', 'nish[ADV]+pa[Prol]+na[Acp]', 'nish[ADV]+pa[Gen]+na[Acp]'], ['tallerninpita[UNK]'], ['chaa[VTr]+rI[Pct]+pti[Cnv](N)+n[Poss.3]'], ['qara[VTr]+rI[Pct]+rqu[RecPst][3]+naq[Rpst]'], ['temblaykar[UNK]']]
